title,genres,keywords,overview
Star Wars Episode VI Return of the Jedi,sci-fi adventure space,rebellion empire jedi,The final battle for freedom against the evil empire
Star Wars Episode VII The Force Awakens,sci-fi adventure space,awakening resistance,A young scavenger discovers her connection to the Force
Star Wars Episode VIII The Last Jedi,sci-fi adventure space,resistance first order,The resistance fights for survival against a growing threat
Star Wars Episode IX The Rise of Skywalker,sci-fi adventure space,final battle sith,The final confrontation between light and dark
Avengers Endgame,action adventure superhero,time heist sacrifice,Heroes attempt a final mission to reverse catastrophic loss
Black Panther,action adventure superhero,wakanda king technology,A new king protects his nation while confronting a challenger tied to his past
Iron Man,action sci-fi superhero,armor inventor billionaire,A genius inventor builds a powered suit and becomes a hero
Captain America The Winter Soldier,action thriller superhero,spy conspiracy loyalty,A super soldier uncovers political conspiracy and battles a brainwashed friend
Doctor Strange,action fantasy superhero,sorcerer dimension mystic,A surgeon learns mystic arts and defends reality from magical threats
Spider-Man No Way Home,action adventure superhero,multiverse identity crisis,A young hero faces consequences of exposed identity and multiverse chaos
Dune,sci-fi adventure,desert prophecy empire,A noble heir navigates political conflict on a desert planet with immense power
Mad Max Fury Road,action adventure post-apocalypse,desert chase rebellion,In a wasteland survivors stage a high-speed revolt against a tyrant
Joker,crime drama thriller,origin chaos society,A struggling comedian descends into madness and becomes a symbol of unrest
Parasite,thriller drama,social class deception,A poor family infiltrates a wealthy household leading to shocking consequences
La La Land,romance drama music,artist dreams ambition,Two artists pursue dreams in the city while their relationship is tested
Whiplash,drama music,mentor obsession perfection,A young drummer endures intense training under a demanding instructor
Coco,animation family fantasy,music memory afterlife,A boy travels to the land of the dead to uncover family history
Toy Story,animation family adventure,toys friendship loyalty,Toys come alive and navigate change when a new favorite arrives
Finding Nemo,animation family adventure,ocean journey rescue,A father fish crosses the ocean to find his captured son
Up,animation family adventure,balloons journey promise,An elderly man and a young scout embark on an unlikely adventure
The Social Network,drama biography,startup ambition betrayal,The founding of a social platform sparks legal and personal conflict
The Imitation Game,drama biography war,codebreaking genius secrecy,A mathematician leads wartime codebreaking while facing personal persecution
The Revenant,adventure drama survival,bear attack revenge,A frontiersman seeks revenge after being left for dead by his companions
The Great Gatsby,drama romance,wealth love tragedy,A mysterious millionaire pursues his lost love in the Jazz Age
Casablanca,romance drama war,love sacrifice goodbye,Two former lovers reunite during wartime and must choose between love and duty
Gone with the Wind,drama romance war,southern belle survival,A headstrong woman navigates love and survival during the Civil War
The Wizard of Oz,fantasy adventure family,wizard journey home,A young girl is transported to a magical land and embarks on a quest
The Sound of Music,family musical romance,nazis music family,A governess teaches music to children while hiding from Nazis
Mary Poppins,family fantasy musical,magic nanny children,A magical nanny brings joy and discipline to a troubled family
The Lion King,animation family drama,pride circle life,A young lion prince learns about responsibility and family legacy
Beauty and the Beast,animation family fantasy,curse love transformation,A prince cursed to live as a beast learns to love
Aladdin,animation family fantasy,genie wishes adventure,A street rat discovers a magical lamp and embarks on adventures
Mulan,animation family adventure,honor warrior china,A young woman disguises herself as a man to fight in the army
Frozen,animation family fantasy,sister love power,Two royal sisters discover their bond and confront an icy threat
Moana,animation family adventure,ocean voyage discovery,A Polynesian princess sets sail to save her island
Tangled,animation family fantasy,hair tower freedom,A princess with magical hair escapes her tower prison
Inside Out,animation family emotion,mind feelings joy,Emotions inside a girls mind help her navigate a major life change
Zootopia,animation family mystery,prejudice investigation,A bunny cop and fox con artist solve a mystery together
The Incredibles,animation family superhero,superhero family secret,A family of superheroes tries to live a normal life
Finding Dory,animation family adventure,short term memory rescue,A forgetful fish embarks on a journey to find her family
Toy Story 2,animation family adventure,toys rescue collection,Toys embark on a rescue mission to save their kidnapped friend
Monsters Inc,animation family comedy,monsters energy children,Monsters discover laughter is more powerful than screams
Cars,animation family comedy,race friendship small town,A race car learns about friendship in a small town
Ratatouille,animation family comedy,rat cooking paris,A rat with culinary dreams teams up with a young chef
WALL-E,animation family sci-fi,robot love earth,A lonely robot finds love while cleaning up Earth
Brave,animation family fantasy,mother daughter independence,A princess defies tradition and changes her mothers fate
How to Train Your Dragon,animation family fantasy,dragon friendship vikings,A young viking befriends a dragon instead of fighting it
Shrek,animation family comedy,ogre princess fairy tale,An ogre rescues a princess and learns about true love
Despicable Me,animation family comedy,minions adoption,A villain adopts three girls and discovers fatherhood
Minions,animation family comedy,banana yellow mischief,Yellow creatures search for the perfect villainous boss
The Secret Life of Pets,animation family comedy,pets adventure,House pets embark on adventures when their owners leave
Sing,animation family musical,audition talent show,Animals compete in a singing competition to save a theater
The Lego Movie,animation family adventure,lego prophecy hero,A construction worker discovers hes the chosen one in a Lego world
The Peanuts Movie,animation family comedy,friendship baseball christmas,Charlie Brown and friends navigate childhood adventures
Paddington,family comedy adventure,bear london family,A bear from Peru finds a new home in London
Paddington 2,family comedy adventure,bear london adventure,Paddington faces challenges while trying to help a friend
The Greatest Showman,musical drama biography,circus dream ambition,A visionary creates the greatest show on Earth
La La Land,musical romance drama,actor pianist dreams,Two artists pursue their dreams while navigating romance
The Greatest Showman,musical drama biography,circus dream ambition,A visionary creates the greatest show on Earth
Bohemian Rhapsody,drama biography music,queen band legacy,The story of Queen lead singer Freddie Mercury
Rocketman,drama biography music,elton john music,A musical fantasy about Elton Johns life and career
A Star is Born,drama music romance,singer fame relationship,A seasoned musician helps launch a young singers career
The Bodyguard,romance drama thriller,protection celebrity danger,A bodyguard is hired to protect a famous singer
Mamma Mia,musical comedy romance,mother daughter wedding,A mother and daughter prepare for a wedding with ABBA songs
Grease,musical comedy romance,high school love,A greaser and good girl fall in love in the 1950s
Hairspray,musical comedy drama,dance integration equality,A plus-size woman pursues her dancing dreams
Enchanted,musical fantasy comedy,fairy tale real world,A fairy tale princess finds herself in the real world
Moulin Rouge,musical drama romance,bohemian love tragedy,A poet falls in love with a courtesan in 1890s Paris
Chicago,musical crime comedy,jazz age murder fame,Two women fight for fame in 1920s Chicago
Les Miserables,musical drama history,revolution redemption,A man seeks redemption in revolutionary France
The Phantom of the Opera,musical romance drama,opera ghost love,An opera ghost falls in love with a young singer
West Side Story,musical drama romance,gang rivalry love,Modern retelling of Romeo and Juliet set in New York gangs
Fiddler on the Roof,musical drama family,tradition change jewish,A milkman tries to preserve traditions amid change
My Fair Lady,musical comedy romance,accent transformation,A professor transforms a flower girls speech and life
The King and I,musical drama romance,teacher king culture,A British teacher educates the King of Siam and his children
Oklahoma,musical romance western,cowboy farming love,A cowboy and farmer compete for a womans love
South Pacific,musical romance war,ocean love prejudice,Love stories unfold during World War II in the South Pacific
The Music Man,musical comedy romance,band con artist,A con artist sells instruments and starts a band
Hello Dolly,musical comedy romance,matchmaker marriage,A matchmaker finds love while arranging others marriages
Cabaret,musical drama romance,nazi germany cabaret,An American singer performs in a Berlin cabaret during Nazi rise
Evita,musical drama biography,politics ambition,A look at Eva Perons rise to power in Argentina
Rent,musical drama romance,aids friendship,Young artists struggle with love and loss in New York City
Hamilton,musical drama biography,revolution founding fathers,A retelling of Americas founding through hip-hop
Dear Evan Hansen,musical drama mental health,anxiety friendship,A high school student becomes entangled in a lie
Wicked,musical fantasy drama,witches friendship,A reimagining of the Wizard of Oz from the Wicked Witchs perspective
Book of Mormon,musical comedy religion,missionaries africa,Two Mormon missionaries face challenges in Africa
Come From Away,musical drama history,9/11 kindness strangers,The true story of a community helping stranded passengers
Hadestown,musical fantasy mythology,orpheus eurydice,A modern retelling of the Orpheus and Eurydice myth
The Band Wagon,musical comedy romance,hollywood aging,A Hollywood star navigates career and love in the 1950s
Singin in the Rain,musical comedy romance,silent film talkies,A silent film star adapts to the talkie era
An American in Paris,musical romance comedy,artist love paris,An American artist finds love and inspiration in Paris
Gigi,musical comedy romance,paris courtesan,A young woman is trained to be a courtesan in Paris
Funny Girl,musical comedy biography,fanny brice comedy,The life story of comedian Fanny Brice
The Producers,musical comedy crime,broadway fraud,Two producers create the worst musical to make money
A Chorus Line,musical drama dance,audition dreams,A group of dancers audition for a Broadway show
Company,musical comedy romance,marriage relationships,A man contemplates marriage through friends experiences
Sweeney Todd,musical horror romance,barber revenge,A barber seeks revenge using his razors
Sunday in the Park with George,musical drama art,artist creation,A painter creates his masterpiece while dealing with life
Assassins,musical drama history,president assassination,Assassins of American presidents tell their stories
Pacific Overtures,musical drama history,japan modernization,Japan opens to the West through Commodore Perrys arrival
Into the Woods,musical fantasy comedy,fairy tale adult,A baker and his wife venture into woods for fairy tale items
Falsettos,musical comedy drama,jewish family relationships,A psychiatrist navigates family and personal life
Ragtime,musical drama history,immigration america,Early 20th century America through immigrant experiences
Carousel,musical drama romance,afterlife redemption,A carousel barker gets a chance at redemption
Show Boat,musical drama romance,racism love,A show boat performers navigate love and racial issues
Oklahoma,musical romance western,cowboy farming love,A cowboy and farmer compete for a womans love
The King and I,musical drama romance,teacher king culture,A British teacher educates the King of Siam
My Fair Lady,musical comedy romance,accent transformation,A professor transforms a flower girls speech
Fiddler on the Roof,musical drama family,tradition change jewish,A milkman preserves traditions amid change
West Side Story,musical drama romance,gang rivalry love,Modern Romeo and Juliet in New York gangs
The Phantom of the Opera,musical romance drama,opera ghost love,An opera ghost loves a young singer
Les Miserables,musical drama history,revolution redemption,A man seeks redemption in France
Chicago,musical crime comedy,jazz age murder fame,Two women fight for fame in 1920s Chicago
Moulin Rouge,musical drama romance,bohemian love tragedy,A poet loves a courtesan in 1890s Paris
Enchanted,musical fantasy comedy,fairy tale real world,A princess enters the real world
Hairspray,musical comedy drama,dance integration equality,A woman pursues dancing dreams
Grease,musical comedy romance,high school love,A greaser and good girl fall in love
Mamma Mia,musical comedy romance,mother daughter wedding,A mother and daughter prepare wedding
A Star is Born,drama music romance,singer fame relationship,A musician helps launch a singers career
Rocketman,drama biography music,elton john music,A musical fantasy about Elton Johns life
Bohemian Rhapsody,drama biography music,queen band legacy,The story of Freddie Mercury and Queen
The Greatest Showman,musical drama biography,circus dream ambition,A visionary creates the greatest show
La La Land,musical romance drama,actor pianist dreams,Two artists pursue dreams and romance
Whiplash,drama music,mentor obsession perfection,A drummer endures intense training
Coco,animation family fantasy,music memory afterlife,A boy travels to the land of the dead
Toy Story,animation family adventure,toys friendship loyalty,Toys come alive and navigate change
Finding Nemo,animation family adventure,ocean journey rescue,A father fish finds his captured son
Up,animation family adventure,balloons journey promise,An elderly man and scout embark on adventure
The Social Network,drama biography,startup ambition betrayal,The founding of a social platform
The Imitation Game,drama biography war,codebreaking genius secrecy,A mathematician leads codebreaking
The Revenant,adventure drama survival,bear attack revenge,A frontiersman seeks revenge after abandonment
The Great Gatsby,drama romance,wealth love tragedy,A millionaire pursues his lost love in Jazz Age
Casablanca,romance drama war,love sacrifice goodbye,Two former lovers reunite during wartime
Gone with the Wind,drama romance war,southern belle survival,A woman navigates love during Civil War
The Wizard of Oz,fantasy adventure family,wizard journey home,A girl is transported to a magical land
The Sound of Music,family musical romance,nazis music family,A governess teaches music while hiding
Mary Poppins,family fantasy musical,magic nanny children,A magical nanny brings joy to family
The Lion King,animation family drama,pride circle life,A lion prince learns about responsibility
Beauty and the Beast,animation family fantasy,curse love transformation,A prince cursed to live as beast
Aladdin,animation family fantasy,genie wishes adventure,A street rat discovers a magical lamp
Mulan,animation family adventure,honor warrior china,A woman disguises as man to fight in army
Frozen,animation family fantasy,sister love power,Two royal sisters confront an icy threat
Moana,animation family adventure,ocean voyage discovery,A Polynesian princess sets sail to save island
Tangled,animation family fantasy,hair tower freedom,A princess with magical hair escapes tower
Inside Out,animation family emotion,mind feelings joy,Emotions help a girl navigate life change
Zootopia,animation family mystery,prejudice investigation,A bunny cop and fox solve mystery
The Incredibles,animation family superhero,superhero family secret,A family of superheroes lives normal life
Finding Dory,animation family adventure,short term memory rescue,A forgetful fish finds her family
Toy Story 2,animation family adventure,toys rescue collection,Toys embark on rescue mission
Monsters Inc,animation family comedy,monsters energy children,Monsters discover laughter power
Cars,animation family comedy,race friendship small town,A race car learns about friendship
Ratatouille,animation family comedy,rat cooking paris,A rat with culinary dreams teams with chef
WALL-E,animation family sci-fi,robot love earth,A lonely robot finds love cleaning Earth
Brave,animation family fantasy,mother daughter independence,A princess defies tradition
How to Train Your Dragon,animation family fantasy,dragon friendship vikings,A viking befriends a dragon
Shrek,animation family comedy,ogre princess fairy tale,An ogre rescues princess learns true love
Despicable Me,animation family comedy,minions adoption,A villain adopts girls discovers fatherhood
Minions,animation family comedy,banana yellow mischief,Yellow creatures search for perfect boss
The Secret Life of Pets,animation family comedy,pets adventure,House pets embark on adventures
Sing,animation family musical,audition talent show,Animals compete in singing competition
The Lego Movie,animation family adventure,lego prophecy hero,A construction worker discovers hes chosen one
The Peanuts Movie,animation family comedy,friendship baseball christmas,Charlie Brown navigates childhood
Paddington,family comedy adventure,bear london family,A bear from Peru finds new home in London
Paddington 2,family comedy adventure,bear london adventure,Paddington faces challenges helping friend
A Beautiful Mind,drama biography,mathematician schizophrenia resilience,A brilliant scholar battles mental illness while pursuing meaningful work
Moneyball,drama sports,baseball analytics strategy,A baseball manager uses data analytics to build a competitive team
The Martian,sci-fi adventure,survival mars science,An astronaut stranded on Mars uses science and resilience to survive
